"","ID","Date_Time","Latitude","Longitude","BirdId","trip_id","Date","Time","DateTime","nestLoc_lat","nestLoc_lon","tripID","X","Y","Returns","StartsOut","ColDist","dataGroup.Longitude","dataGroup.Latitude"
"89","280136_1",2019-01-02 02:59:47,13.3160289844866,-24.0845210334185,"280136","280136_1",2019-01-02,"02:59:47",2019-01-02 02:59:47,14.970429,-24.638775,"280136_1_01",-24.0845210334185,13.3160289844866,"Yes","",192575.079895146,-24.0845210334185,13.3160289844866
"90","280136_1",2019-01-02 04:59:47,13.437184094194,-24.30488400776,"280136","280136_1",2019-01-02,"04:59:47",2019-01-02 04:59:47,14.970429,-24.638775,"280136_1_01",-24.30488400776,13.437184094194,"Yes","",173424.60087995,-24.30488400776,13.437184094194
"91","280136_1",2019-01-02 06:59:47,13.5108560483625,-24.4616107176161,"280136","280136_1",2019-01-02,"06:59:47",2019-01-02 06:59:47,14.970429,-24.638775,"280136_1_01",-24.4616107176161,13.5108560483625,"Yes","",162616.167972022,-24.4616107176161,13.5108560483625
"92","280136_1",2019-01-02 08:59:47,13.3764506004358,-24.3779488293655,"280136","280136_1",2019-01-02,"08:59:47",2019-01-02 08:59:47,14.970429,-24.638775,"280136_1_01",-24.3779488293655,13.3764506004358,"Yes","",178591.441343039,-24.3779488293655,13.3764506004358
"93","280136_1",2019-01-02 10:59:47,13.1695042546469,-24.1635381034243,"280136","280136_1",2019-01-02,"10:59:47",2019-01-02 10:59:47,14.970429,-24.638775,"280136_1_01",-24.1635381034243,13.1695042546469,"Yes","",205756.619582982,-24.1635381034243,13.1695042546469
"94","280136_1",2019-01-02 12:59:47,13.0154281948367,-23.9788687290899,"280136","280136_1",2019-01-02,"12:59:47",2019-01-02 12:59:47,14.970429,-24.638775,"280136_1_01",-23.9788687290899,13.0154281948367,"Yes","",227743.695880318,-23.9788687290899,13.0154281948367
"95","280136_1",2019-01-02 14:59:47,12.9917620194886,-24.0217139823289,"280136","280136_1",2019-01-02,"14:59:47",2019-01-02 14:59:47,14.970429,-24.638775,"280136_1_01",-24.0217139823289,12.9917620194886,"Yes","",228841.86398018,-24.0217139823289,12.9917620194886
"96","280136_1",2019-01-02 16:59:47,13.0741822684217,-24.1972899506167,"280136","280136_1",2019-01-02,"16:59:47",2019-01-02 16:59:47,14.970429,-24.638775,"280136_1_01",-24.1972899506167,13.0741822684217,"Yes","",215149.985086599,-24.1972899506167,13.0741822684217
"97","280136_1",2019-01-02 18:59:47,13.2383679719148,-24.4110564077644,"280136","280136_1",2019-01-02,"18:59:47",2019-01-02 18:59:47,14.970429,-24.638775,"280136_1_01",-24.4110564077644,13.2383679719148,"Yes","",193205.568680812,-24.4110564077644,13.2383679719148
"98","280136_1",2019-01-02 20:59:47,13.3858594194995,-24.5629365633779,"280136","280136_1",2019-01-02,"20:59:47",2019-01-02 20:59:47,14.970429,-24.638775,"280136_1_01",-24.5629365633779,13.3858594194995,"Yes","",175508.217858213,-24.5629365633779,13.3858594194995
