"","tracking_event","Date_Time","Latitude","Longitude","BirdId","trip_id"
"132","280136_1",2019-01-06 00:59:42,14.8699148150599,-24.5730540996252,"280136","280136_1"
"133","280136_1",2019-01-06 02:59:42,14.9020075377972,-24.5879809353248,"280136","280136_1"
"134","280136_1",2019-01-06 04:59:42,14.9170926001516,-24.6265747256875,"280136","280136_1"
"135","280136_1",2019-01-06 06:59:42,14.6489062739063,-24.3815023240777,"280136","280136_1"
"136","280136_1",2019-01-06 08:59:42,14.2564321414185,-24.1369939058076,"280136","280136_1"
"137","280136_1",2019-01-06 10:59:42,14.0189239162171,-23.9475911493964,"280136","280136_1"
"138","280136_1",2019-01-06 12:59:42,14.0249226141778,-24.0263391780111,"280136","280136_1"
"139","280136_1",2019-01-06 14:59:42,13.9365972286735,-24.0148247940077,"280136","280136_1"
"140","280136_1",2019-01-06 16:59:42,13.9210687796302,-24.0385281399583,"280136","280136_1"
"141","280136_1",2019-01-06 18:59:42,14.1457428594523,-24.223269610424,"280136","280136_1"
"142","280136_1",2019-01-06 20:59:42,14.4852637338155,-24.3928928936019,"280136","280136_1"
"143","280136_1",2019-01-06 22:59:42,14.7711716447658,-24.5114520816436,"280136","280136_1"
"144","280136_1",2019-01-07 00:59:42,14.8397833623025,-24.537613552343,"280136","280136_1"
"145","280136_1",2019-01-07 02:59:42,14.9198774943996,-24.6061401638665,"280136","280136_1"
"146","280136_1",2019-01-07 04:59:42,14.9384795913386,-24.6465393078182,"280136","280136_1"
"147","280136_1",2019-01-07 06:59:42,14.8224392560604,-24.588100242686,"280136","280136_1"
"148","280136_1",2019-01-07 08:59:42,14.4983099361349,-24.3601808907565,"280136","280136_1"
"149","280136_1",2019-01-07 10:59:42,14.161017756362,-24.1083209561587,"280136","280136_1"
"150","280136_1",2019-01-07 12:59:42,14.0067261971086,-23.9782484713212,"280136","280136_1"
"151","280136_1",2019-01-07 14:59:42,13.9000822428859,-23.9205380121759,"280136","280136_1"
"152","280136_1",2019-01-07 16:59:42,13.7189170005204,-23.8263704428556,"280136","280136_1"
"153","280136_1",2019-01-07 18:59:42,13.6405452611261,-23.8030245446679,"280136","280136_1"
"154","280136_1",2019-01-07 20:59:42,13.664843246543,-23.792173012288,"280136","280136_1"
"155","280136_1",2019-01-07 22:59:42,13.7912228980904,-23.7352388358162,"280136","280136_1"
"156","280136_1",2019-01-08 00:59:42,13.6658578610343,-23.4759500447624,"280136","280136_1"
"157","280136_1",2019-01-08 02:59:42,13.5859241981076,-23.2010783586871,"280136","280136_1"
"158","280136_1",2019-01-08 04:59:42,13.5121744911004,-22.9762374498063,"280136","280136_1"
"159","280136_1",2019-01-08 06:59:42,13.3859950651943,-22.7529390277088,"280136","280136_1"
"160","280136_1",2019-01-08 08:59:42,13.2095125589657,-22.5685258170181,"280136","280136_1"
"161","280136_1",2019-01-08 10:59:42,13.1208626797484,-22.4765535985865,"280136","280136_1"
"162","280136_1",2019-01-08 12:59:42,13.0842343333824,-22.4355944507476,"280136","280136_1"
"163","280136_1",2019-01-08 14:59:42,13.063600823676,-22.4040984176743,"280136","280136_1"
"164","280136_1",2019-01-08 16:59:42,13.0229266736977,-22.3405423017368,"280136","280136_1"
"165","280136_1",2019-01-08 18:59:42,13.0048669803439,-22.3078642121919,"280136","280136_1"
"166","280136_1",2019-01-08 20:59:42,13.0522122559384,-22.3692014204882,"280136","280136_1"
"167","280136_1",2019-01-08 22:59:42,13.207630255507,-22.5876119704499,"280136","280136_1"
"168","280136_1",2019-01-09 00:59:42,13.3065168198062,-22.6878642633848,"280136","280136_1"
"169","280136_1",2019-01-09 02:59:42,13.3831870779237,-22.7153720426479,"280136","280136_1"
"170","280136_1",2019-01-09 04:59:42,13.5268431507278,-22.8469851271488,"280136","280136_1"
"171","280136_1",2019-01-09 06:59:42,13.5709416588865,-22.9312928891908,"280136","280136_1"
"172","280136_1",2019-01-09 08:59:42,13.5667969075128,-22.9186689975622,"280136","280136_1"
"173","280136_1",2019-01-09 10:59:42,13.5475889966516,-22.9395152967572,"280136","280136_1"
"174","280136_1",2019-01-09 12:59:42,13.5465358762412,-23.1243754407035,"280136","280136_1"
"175","280136_1",2019-01-09 14:59:42,13.5702845794826,-23.3862280566657,"280136","280136_1"
"176","280136_1",2019-01-09 16:59:42,13.6254253414908,-23.6377251172116,"280136","280136_1"
"177","280136_1",2019-01-09 18:59:42,13.7199141089347,-23.9134718603993,"280136","280136_1"
"178","280136_1",2019-01-09 20:59:42,13.8615419792539,-24.2481230914115,"280136","280136_1"
